iter	Passed	Remaining
0	9	9985
1	17	8829
2	26	8829
3	34	8689
4	42	8519
5	52	8637
6	60	8577
7	70	8772
8	86	9536
9	96	9593
10	105	9441
11	134	11062
12	147	11174
13	155	10971
14	164	10801
15	177	10933
16	186	10775
17	195	10646
18	205	10588
19	214	10514
20	225	10503
21	237	10556
22	248	10560
23	258	10492
24	267	10444
25	277	10399
26	288	10395
27	297	10334
28	308	10323
29	318	10285
30	328	10268
31	339	10281
32	363	10650
33	377	10724
34	396	10924
35	453	12147
36	481	12523
37	492	12463
38	511	12598
39	519	12464
40	527	12349
41	536	12228
42	561	12488
43	577	12556
44	587	12465
45	597	12390
46	608	12330
47	619	12290
48	637	12365
49	646	12277
50	656	12214
51	672	12254
52	682	12193
53	718	12581
54	731	12567
55	744	12551
56	756	12521
57	769	12502
58	781	12456
59	790	12382
60	802	12346
61	811	12271
62	820	12202
63	830	12148
64	839	12070
65	849	12021
66	858	11955
67	866	11882
68	874	11801
69	882	11729
70	892	11671
71	900	11612
72	909	11554
73	917	11481
74	925	11418
75	933	11354
76	943	11309
77	953	11270
78	962	11222
79	970	11163
80	979	11115
81	988	11061
82	999	11041
83	1008	10993
84	1016	10940
85	1024	10890
86	1032	10840
87	1041	10790
88	1049	10745
89	1058	10703
90	1066	10654
91	1075	10619
92	1083	10570
93	1093	10541
94	1101	10497
95	1112	10472
96	1120	10432
97	1131	10410
98	1139	10373
99	1147	10331
100	1157	10306
101	1166	10266
102	1177	10250
103	1188	10239
104	1200	10234
105	1214	10244
106	1225	10224
107	1233	10187
108	1243	10161
109	1251	10128
110	1260	10098
111	1269	10069
112	1278	10033
113	1287	10003
114	1295	9970
115	1303	9936
116	1312	9906
117	1320	9872
118	1329	9842
119	1337	9811
120	1345	9777
121	1355	9755
122	1364	9725
123	1373	9703
124	1381	9673
125	1390	9645
126	1399	9622
127	1407	9591
128	1416	9565
129	1424	9535
130	1433	9510
131	1441	9481
132	1450	9454
133	1458	9425
134	1466	9397
135	1475	9371
136	1483	9344
137	1491	9316
138	1500	9292
139	1508	9264
140	1516	9237
141	1525	9215
142	1533	9189
143	1541	9162
144	1549	9136
145	1557	9108
146	1565	9083
147	1572	9054
148	1580	9028
149	1588	9002
150	1596	8977
151	1604	8950
152	1612	8927
153	1620	8902
154	1628	8875
155	1635	8846
156	1643	8822
157	1650	8795
158	1657	8767
159	1665	8745
160	1673	8721
161	1681	8697
162	1689	8673
163	1696	8647
164	1704	8625
165	1711	8600
166	1719	8575
167	1727	8553
168	1734	8529
169	1742	8505
170	1749	8481
171	1756	8457
172	1764	8434
173	1771	8410
174	1779	8387
175	1786	8364
176	1794	8341
177	1801	8317
178	1808	8295
179	1815	8272
180	1823	8249
181	1830	8228
182	1837	8205
183	1845	8183
184	1853	8163
185	1861	8145
186	1868	8124
187	1876	8102
188	1883	8083
189	1892	8068
190	1900	8049
191	1908	8031
192	1915	8011
193	1924	7995
194	1933	7980
195	1940	7962
196	1948	7943
197	1957	7927
198	1965	7909
199	1972	7890
200	1980	7871
201	1988	7853
202	1995	7835
203	2004	7819
204	2011	7800
205	2019	7784
206	2028	7770
207	2037	7756
208	2045	7740
209	2053	7724
210	2061	7710
211	2070	7696
212	2079	7681
213	2088	7669
214	2096	7654
215	2105	7643
216	2113	7626
217	2123	7616
218	2131	7599
219	2142	7595
220	2152	7588
221	2161	7575
222	2171	7565
223	2179	7549
224	2188	7538
225	2196	7522
226	2205	7508
227	2212	7490
228	2220	7477
229	2228	7461
230	2237	7448
231	2245	7433
232	2254	7422
233	2261	7403
234	2269	7389
235	2277	7374
236	2286	7362
237	2295	7347
238	2303	7333
239	2311	7320
240	2320	7309
241	2328	7293
242	2337	7280
243	2344	7265
244	2354	7255
245	2362	7241
246	2371	7229
247	2378	7212
248	2386	7198
249	2393	7180
250	2400	7164
251	2407	7147
252	2415	7130
253	2422	7115
254	2430	7100
255	2437	7084
256	2446	7071
257	2454	7060
258	2463	7047
259	2471	7033
260	2479	7019
261	2487	7006
262	2495	6993
263	2503	6978
264	2510	6963
265	2517	6947
266	2525	6933
267	2533	6918
268	2540	6903
269	2547	6888
270	2556	6876
271	2564	6863
272	2572	6851
273	2580	6838
274	2591	6831
275	2599	6818
276	2607	6806
277	2615	6792
278	2623	6779
279	2631	6766
280	2639	6754
281	2647	6740
282	2656	6729
283	2663	6715
284	2671	6702
285	2679	6689
286	2687	6675
287	2694	6662
288	2702	6648
289	2710	6635
290	2717	6621
291	2725	6607
292	2732	6592
293	2739	6578
294	2746	6563
295	2754	6550
296	2761	6535
297	2768	6522
298	2776	6508
299	2783	6495
300	2791	6482
301	2799	6469
302	2807	6457
303	2814	6444
304	2822	6431
305	2829	6418
306	2838	6406
307	2846	6394
308	2853	6382
309	2861	6369
310	2869	6358
311	2877	6346
312	2886	6335
313	2894	6324
314	2902	6312
315	2910	6300
316	2919	6289
317	2927	6278
318	2935	6267
319	2944	6256
320	2952	6244
321	2959	6231
322	2967	6219
323	2974	6205
324	2981	6193
325	2989	6181
326	2998	6170
327	3005	6157
328	3013	6145
329	3020	6132
330	3028	6120
331	3035	6108
332	3043	6096
333	3051	6085
334	3059	6073
335	3067	6062
336	3075	6049
337	3082	6037
338	3089	6024
339	3097	6012
340	3105	6002
341	3113	5990
